Question	Answer
Who is Luke Skywalker's father?	Darth Vader, also known as Anakin Skywalker, is Luke's father. This was revealed in The Empire Strikes Back.
What is a lightsaber?	A lightsaber is an elegant weapon from a more civilized age, used by Jedi and Sith. It consists of a plasma blade powered by a kyber crystal.
Where is the Rebel Alliance base located?	The Rebel Alliance has had several bases, including on Yavin 4, Hoth, and later on various other planets as they moved to avoid the Empire.
Who is the Emperor?	Emperor Palpatine, also known as Darth Sidious, is the evil Sith Lord who rules the Galactic Empire and is the master of Darth Vader.
What is the Force?	The Force is an energy field created by all living things. It surrounds us, penetrates us, and binds the galaxy together.
How many suns does Tatooine have?	Tatooine is a desert planet with twin suns in a binary star system.
What is the Death Star?	The Death Star is a massive space station and superweapon built by the Empire, capable of destroying entire planets.
Who are the Jedi?	The Jedi are peacekeepers who use the Force for knowledge and defense, never for attack. They were nearly wiped out by Order 66.
What happened to Alderaan?	Alderaan was Princess Leia's home planet that was destroyed by the Death Star as a demonstration of its power.
Who is Yoda?	Yoda is a legendary Jedi Master, over 900 years old, who trained Luke Skywalker and many other Jedi over the centuries.
What is the Millennium Falcon?	The Millennium Falcon is Han Solo's ship, a heavily modified Corellian YT-1300 light freighter known for making the Kessel Run in less than 12 parsecs.
Who are the Sith?	The Sith are dark side users who seek power through anger, fear, and hatred. They follow the Rule of Two - always two there are, a master and an apprentice.
What is Cloud City?	Cloud City is a floating city in the clouds of the gas giant Bespin, administered by Lando Calrissian.
Who is Princess Leia?	Princess Leia Organa is a leader of the Rebel Alliance, Luke's twin sister, and later revealed to be Force-sensitive.
What are stormtroopers?	Stormtroopers are the elite soldiers of the Galactic Empire, known for their white armor and poor marksmanship.
Where do Ewoks live?	Ewoks live on the forest moon of Endor in tree villages high in the canopy.
What is carbonite freezing?	Carbonite freezing is a process used to preserve objects or beings in a carbon-frozen state, famously used on Han Solo.
Who is Chewbacca?	Chewbacca is a Wookiee warrior and Han Solo's loyal co-pilot and best friend, known for his distinctive roar.
What is the Sarlacc?	The Sarlacc is a creature that lives in the Great Pit of Carkoon on Tatooine, where Jabba the Hutt fed his enemies.
Who built C-3PO?	C-3PO was built by young Anakin Skywalker on Tatooine to help his mother with household chores.
